
       
2026-06-18 20:43:00.992936,10.0.0.2,unknown,1,128,YES
2026-06-18 20:43:01.194869,10.0.0.2,unknown,2,128,YES
2026-06-18 20:43:01.397930,10.0.0.2,unknown,3,128,YES
2026-06-18 20:43:01.601178,10.0.0.2,unknown,4,128,YES
2026-06-18 20:43:01.805007,10.0.0.2,unknown,5,128,YES
2026-06-18 20:43:02.008301,10.0.0.2,unknown,6,128,YES
2026-06-18 20:43:02.210058,10.0.0.2,unknown,7,128,YES
2026-06-18 20:43:02.412270,10.0.0.2,unknown,8,128,YES
2026-06-18 20:43:02.614465,10.0.0.2,unknown,9,128,YES
2026-06-18 20:43:02.816972,10.0.0.2,unknown,10,128,YES
2026-06-18 20:43:03.222690,10.0.0.2,unknown,1,512,YES
2026-06-18 20:43:03.424370,10.0.0.2,unknown,2,512,YES
2026-06-18 20:43:03.625973,10.0.0.2,unknown,3,512,YES
2026-06-18 20:43:03.828063,10.0.0.2,unknown,4,512,YES
2026-06-18 20:43:04.031592,10.0.0.2,unknown,5,512,YES
2026-06-18 20:43:04.235421,10.0.0.2,unknown,6,512,YES
2026-06-18 20:43:04.440833,10.0.0.2,unknown,7,512,YES
2026-06-18 20:43:04.644512,10.0.0.2,unknown,8,512,YES
2026-06-18 20:43:04.847707,10.0.0.2,unknown,9,512,YES
2026-06-18 20:43:05.050087,10.0.0.2,unknown,10,512,YES
2026-06-18 20:43:05.455043,10.0.0.2,unknown,1,1024,YES
2026-06-18 20:43:05.657789,10.0.0.2,unknown,2,1024,YES
2026-06-18 20:43:05.859428,10.0.0.2,unknown,3,1024,YES
2026-06-18 20:43:06.061580,10.0.0.2,unknown,4,1024,YES
2026-06-18 20:43:06.263369,10.0.0.2,unknown,5,1024,YES
2026-06-18 20:43:06.466932,10.0.0.2,unknown,6,1024,YES
2026-06-18 20:43:06.670089,10.0.0.2,unknown,7,1024,YES
2026-06-18 20:43:06.873448,10.0.0.2,unknown,8,1024,YES
2026-06-18 20:43:07.074497,10.0.0.2,unknown,9,1024,YES
2026-06-18 20:43:07.277299,10.0.0.2,unknown,10,1024,YES
2026-06-18 20:43:07.682744,10.0.0.2,unknown,1,128,YES
2026-06-18 20:43:08.088314,10.0.0.2,unknown,2,128,YES
2026-06-18 20:43:08.491813,10.0.0.2,unknown,3,128,YES
2026-06-18 20:43:08.896281,10.0.0.2,unknown,4,128,YES
2026-06-18 20:43:09.302674,10.0.0.2,unknown,5,128,YES
